,author1,author2
0,张勤,李枫
1,张勤,徐辉
2,张勤,苏洁琼
3,张勤,卫琳
4,李枫,徐辉
5,李枫,苏洁琼
6,李枫,卫琳
7,徐辉,苏洁琼
8,徐辉,卫琳
9,苏洁琼,卫琳
10,杨俊宴,吴明伟
11,黄杉,张越
12,黄杉,华晨
13,黄杉,汤婧婕
14,张越,华晨
15,张越,汤婧婕
16,华晨,汤婧婕
17,袁奇峰,马晓亚
18,陆希刚,王德
19,张京祥,葛志兵
20,张京祥,罗震东
21,张京祥,孙姗姗
22,葛志兵,罗震东
23,葛志兵,孙姗姗
24,罗震东,孙姗姗
25,石铁矛,李绥
26,许世光,魏建平
27,许世光,曹轶
28,许世光,魏立华
29,魏建平,曹轶
30,魏建平,魏立华
31,曹轶,魏立华
32,王雷,张尧
33,徐明尧,陶德凯
34,邵甬,付娟娟
35,吴晓,陈薇
36,吴晓,王承慧
37,吴晓,童本勤
38,吴晓,刘正平
39,陈薇,王承慧
40,陈薇,童本勤
41,陈薇,刘正平
42,王承慧,童本勤
43,王承慧,刘正平
44,童本勤,刘正平
45,宋祎,查克
46,刘钊军,胡木春
47,杨保军,赵群毅
48,吴刚,易翔
49,韦亚平,潘聪林
50,汪冬宁,金晓斌
51,汪冬宁,王静
52,汪冬宁,周寅康
53,金晓斌,王静
54,金晓斌,周寅康
55,王静,周寅康
56,李王鸣,江勇
57,文贯中,熊金武
58,田莉,罗长海
59,郑国,孟婧
60,薛立新,龙彬
61,王凯,张菁
62,王凯,徐泽
63,王凯,徐颖
64,张菁,徐泽
65,张菁,徐颖
66,徐泽,徐颖
67,林坚,楚建群
68,林坚,张书海
69,林坚,苗春蕾
70,林坚,田刚
71,楚建群,张书海
72,楚建群,苗春蕾
73,楚建群,田刚
74,张书海,苗春蕾
75,张书海,田刚
76,苗春蕾,田刚
77,汪军,赵民
78,汪军,李新阳
79,赵民,李新阳
80,徐颖,李新阳
81,王凯,徐颖
82,李红卫,吴志强
83,李红卫,易晓峰
84,李红卫,彭涛
85,吴志强,易晓峰
86,吴志强,彭涛
87,易晓峰,彭涛
88,张如林,丁元
89,赵万民,史靖塬
90,赵万民,黄勇
91,史靖塬,黄勇
92,张文彤,殷毅
93,张文彤,吴志华
94,张文彤,潘聪
95,殷毅,吴志华
96,殷毅,潘聪
97,吴志华,潘聪
98,赵中元,魏正
99,赵中元,江丕文
100,魏正,江丕文
101,尹海林,郑嘉轩
102,尹海林,孙银
103,尹海林,巩志涛
104,尹海林,田野
105,郑嘉轩,孙银
106,郑嘉轩,巩志涛
107,郑嘉轩,田野
108,孙银,巩志涛
109,孙银,田野
110,巩志涛,田野
111,杨建军,汤婧婕
112,杨建军,汤燕
113,汤婧婕,汤燕
114,孙平军,丁四保
115,孙平军,修春亮
116,丁四保,修春亮
117,胡娟,方可
118,胡娟,亢德芝
119,胡娟,朱爱琴
120,胡娟,吴郁玲
121,方可,亢德芝
122,方可,朱爱琴
123,方可,吴郁玲
124,亢德芝,朱爱琴
125,亢德芝,吴郁玲
126,朱爱琴,吴郁玲
127,高伟,龙彬
128,宋桐庆,朱喜钢
129,宋桐庆,宋伟轩
130,朱喜钢,宋伟轩
131,王凯,徐颖
132,李郇,殷江滨
133,赵四东,杨永春
134,赵四东,万里
135,赵四东,贾云鸿
136,赵四东,李伟伟
137,赵四东,曹军
138,杨永春,万里
139,杨永春,贾云鸿
140,杨永春,李伟伟
141,杨永春,曹军
142,万里,贾云鸿
143,万里,李伟伟
144,万里,曹军
145,贾云鸿,李伟伟
146,贾云鸿,曹军
147,李伟伟,曹军
148,谷人旭,李广斌
149,叶强,谭怡恬
150,叶强,鞠拓文
151,叶强,罗立武
152,叶强,谭立力
153,谭怡恬,鞠拓文
154,谭怡恬,罗立武
155,谭怡恬,谭立力
156,鞠拓文,罗立武
157,鞠拓文,谭立力
158,罗立武,谭立力
159,周钰,赵建波
160,周钰,张玉坤
161,赵建波,张玉坤
162,秦波,邵然
163,王德,刘律
164,陈明明,孙思敏
165,王凯,徐颖
166,税伟,Gregory VEECK
167,税伟,刘美霞
168,税伟,陈烈
169,税伟,刘复友
170,Gregory VEECK,刘美霞
171,Gregory VEECK,陈烈
172,Gregory VEECK,刘复友
173,刘美霞,陈烈
174,刘美霞,刘复友
175,陈烈,刘复友
176,王琦,邢忠
177,王琦,代伟国
178,邢忠,代伟国
179,鲍茜,徐刚
180,赫磊,宋彦
181,赫磊,戴慎志
182,宋彦,戴慎志
183,叶昌东,周春山
184,叶昌东,李振
185,周春山,李振
186,毕凌岚,钟毅
187,戚冬瑾,周剑云
188,薛德升,闫小培
189,薛德升,张成智
190,闫小培,张成智
191,汪明峰,林小玲
192,汪明峰,宁越敏
193,林小玲,宁越敏
194,刘晔,刘于琪
195,刘晔,李志刚
196,刘于琪,李志刚
197,郑卫,饶晓晓
